All Apps
========

ai.perplexity.app.android | User | Enabled
com.google.android.apps.nbu.paisa.user | User | Enabled
com.google.android.apps.photos | System | Enabled
com.google.android.apps.restore | System | Enabled
com.google.android.apps.safetyhub | System | Enabled
com.google.android.apps.setupwizard.searchselector | System | Enabled
com.google.android.apps.tachyon | System | Enabled
com.google.android.apps.turbo | System | Enabled
com.google.android.apps.wallpaper | System | Enabled
com.google.android.apps.wellbeing | System | Enabled
com.google.android.apps.work.clouddpc | System | Enabled
com.google.android.apps.youtube.music | System | Enabled
com.google.android.appsearch.apk | System | Enabled
com.google.android.as | System | Enabled
com.google.android.as.oss | System | Enabled
com.google.android.calculator | System | Enabled
com.google.android.calendar | System | Enabled
com.google.android.captiveportallogin | System | Enabled
com.google.android.carrier | System | Enabled
com.google.android.cellbroadcastreceiver | System | Enabled
com.google.android.cellbroadcastservice | System | Enabled
com.google.android.configupdater | System | Enabled
com.google.android.connectivity.resources | System | Enabled
com.google.android.contactkeys | User | Enabled
com.google.android.contacts | System | Enabled
com.google.android.deskclock | System | Enabled
com.google.android.dialer | System | Enabled
com.google.android.documentsui | System | Enabled
com.google.android.ext.services | System | Enabled
com.google.android.ext.shared | System | Enabled
com.google.android.federatedcompute | System | Enabled
com.google.android.feedback | System | Enabled
com.google.android.gm | System | Enabled
com.google.android.gms | System | Enabled
com.google.android.gms.location.history | System | Enabled
com.google.android.gms.supervision | System | Disabled
com.google.android.googlequicksearchbox | System | Enabled
com.google.android.gsf | System | Enabled
com.google.android.health.connect.backuprestore | System | Enabled
com.google.android.healthconnect.controller | System | Enabled
com.google.android.hotspot2.osulogin | System | Enabled
com.google.android.inputmethod.latin | System | Enabled
com.google.android.marvin.talkback | System | Enabled
com.google.android.modulemetadata | System | Enabled
com.google.android.networkstack | System | Enabled
com.google.android.networkstack.overlay | System | Enabled
com.google.android.networkstack.tethering | System | Enabled
com.google.android.networkstack.tethering.overlay | System | Enabled
com.google.android.ondevicepersonalization.services | System | Enabled
com.google.android.onetimeinitializer | System | Enabled
com.google.android.overlay.gmsconfig.aicore | System | Enabled
com.google.android.overlay.gmsconfig.asi | System | Enabled
com.google.android.overlay.gmsconfig.common | System | Enabled
com.google.android.overlay.gmsconfig.comms | System | Enabled
com.google.android.overlay.gmsconfig.contextualsearch | System | Enabled
com.google.android.overlay.gmsconfig.geotz | System | Enabled
com.google.android.overlay.gmsconfig.gsa | System | Enabled
com.google.android.overlay.gmsconfig.personalsafety | System | Enabled
com.google.android.overlay.gmsconfig.photos | System | Enabled
com.google.android.overlay.gmsconfig.searchselector | System | Enabled
com.google.android.overlay.modules.captiveportallogin.forframework | System | Enabled
com.google.android.overlay.modules.documentsui | System | Enabled
com.google.android.overlay.modules.ext.services | System | Enabled
com.google.android.overlay.modules.healthfitness.forframework | System | Enabled
com.google.android.overlay.modules.modulemetadata.forframework | System | Enabled
com.google.android.overlay.modules.permissioncontroller | System | Enabled
com.google.android.overlay.modules.permissioncontroller.forframework | System | Enabled
com.google.android.packageinstaller | System | Enabled
com.google.android.partnersetup | System | Enabled
com.google.android.permissioncontroller | System | Enabled
com.google.android.photopicker | System | Enabled
com.google.android.printservice.recommendation | System | Enabled
com.google.android.projection.gearhead | System | Enabled
com.google.android.providers.media.module | System | Enabled
com.google.android.rkpdapp | System | Enabled
com.google.android.safetycenter.resources | System | Enabled
com.google.android.safetycore | User | Enabled
com.google.android.sdksandbox | System | Enabled
com.google.android.server.deviceconfig.resources | System | Enabled
com.google.android.setupwizard | System | Enabled
com.google.android.tag | System | Enabled
com.google.android.tts | System | Enabled
com.google.android.uwb.resources | System | Enabled
com.google.android.verifier | System | Enabled
com.google.android.verifier.overlay | System | Enabled
com.google.android.videos | System | Enabled
com.google.android.webview | System | Enabled
com.google.android.wfcactivation | System | Enabled
com.google.android.wifi.dialog | System | Enabled
com.google.android.wifi.resources | System | Enabled
com.google.android.youtube | System | Enabled
com.google.ar.core | System | Enabled
com.google.mainline.adservices | System | Enabled
com.google.mainline.telemetry | System | Enabled
com.grofers.customerapp | User | Enabled
com.handmark.expressweather | System | Disabled
com.heytap.headset | User | Enabled
com.indus.appstore | System | Enabled
com.inmobi.weather | System | Enabled
com.ironsource.appcloud.oobe.hutchison | System | Disabled
com.mediatek | System | Enabled
com.mediatek.FrameworkResOverlayExt | System | Enabled
com.mediatek.MtkSettingsResOverlay | System | Enabled
com.mediatek.SettingsProviderResOverlay | System | Enabled
com.mediatek.apmonitor | System | Enabled
com.mediatek.capctrl.service | System | Enabled
com.mediatek.carrierexpress | System | Enabled
com.mediatek.frameworkresoverlay | System | Enabled
com.mediatek.gbaservice | System | Enabled
com.mediatek.ims | System | Enabled
com.mediatek.ims.rcsua.service | System | Enabled
com.mediatek.location.lppe.main | System | Enabled
com.mediatek.op12.ims | System | Enabled
com.mediatek.presence | System | Enabled
com.mediatek.telephony | System | Enabled
com.microsoft.copilot | User | Enabled
com.motorola.account | System | Enabled
com.motorola.actioncore | System | Enabled
com.motorola.actions | System | Enabled
com.motorola.actions.overlay | System | Enabled
com.motorola.aicore | System | Enabled
com.motorola.aiservices | System | Enabled
com.motorola.aitranslation | System | Enabled
com.motorola.android.connectivity.resources.overlay | System | Enabled
com.motorola.android.coresettingsext.overlay.cybert | System | Enabled
com.motorola.android.coresettingsext.overlay.doubletap | System | Enabled
com.motorola.android.fmradio | System | Enabled
com.motorola.android.launcher.overlay.amx | System | Disabled
com.motorola.android.launcher.overlay.applabeltwolines | System | Disabled
com.motorola.android.launcher.overlay.applabeltwolines.india | System | Enabled
com.motorola.android.launcher.overlay.koodo | System | Disabled
com.motorola.android.launcher.overlay.retail.global | System | Enabled
com.motorola.android.launcher.overlay.telus | System | Disabled
com.motorola.android.launcher.overlay.vivo | System | Disabled
com.motorola.android.nativedropboxagent | System | Enabled
com.motorola.android.networkstack.overlay.mcc460 | System | Enabled
com.motorola.android.networkstack.tethering.overlay.motCommon | System | Enabled
com.motorola.android.overlay.appclone | System | Enabled
com.motorola.android.overlay.common | System | Enabled
com.motorola.android.overlay.crystaltalkai | System | Enabled
com.motorola.android.overlay.deviceconfig.cybert | System | Enabled
com.motorola.android.overlay.dualsim | System | Enabled
com.motorola.android.overlay.hw_dualsim | System | Enabled
com.motorola.android.overlay.lpptoga | System | Enabled
com.motorola.android.overlay.mtk.common | System | Enabled
com.motorola.android.overlay.payjoy | System | Enabled
com.motorola.android.overlay.true_aod.india | System | Enabled
com.motorola.android.overlay.vendor.common | System | Enabled
com.motorola.android.providers.chromehomepage | System | Enabled
com.motorola.android.providers.settings | System | Enabled
com.motorola.android.providers.settings.auto_generated_rro_product__ | System | Enabled
com.motorola.android.providers.settings.overlay.batterycare.retin | System | Enabled
com.motorola.android.providers.settings.overlay.dppcamera | System | Enabled
com.motorola.android.providers.settings.overlay.dppnone | System | Enabled
com.motorola.android.provisioning | System | Enabled
com.motorola.android.server.telecom.overlay.jp | System | Disabled
com.motorola.android.settings.overlay.appclone | System | Enabled
com.motorola.android.settings.overlay.fps.display | System | Enabled
com.motorola.android.settings.overlay.global | System | Enabled
com.motorola.android.settings.overlay.lra | System | Enabled
com.motorola.android.settings.overlay.power.bottom | System | Enabled
com.motorola.android.settings.uxcore.overlay | System | Enabled
com.motorola.android.systemui.overlay.att | System | Enabled
com.motorola.android.systemui.overlay.sprint | System | Enabled
com.motorola.android.systemui.overlay.tmo | System | Enabled
com.motorola.android.systemui.overlay.usc | System | Enabled
com.motorola.android.systemui.overlay.vzw | System | Enabled
com.motorola.appdirectedsmsproxy | System | Enabled
com.motorola.appforecast | System | Enabled
com.motorola.att.phone.extensions | System | Disabled
com.motorola.attvowifi | System | Enabled
com.motorola.audiorecorder | System | Disabled
com.motorola.bach.modemstats | System | Enabled
com.motorola.batterycare | System | Enabled
com.motorola.batterycare.overlay | System | Enabled
com.motorola.batterycare.overlay.appside | System | Enabled
com.motorola.brapps | System | Disabled
com.motorola.bug2go | System | Enabled
com.motorola.callredirectionservice | System | Enabled
com.motorola.camera.ai.colortone | System | Enabled
com.motorola.camera5 | System | Enabled
com.motorola.carrierconfig | System | Disabled
com.motorola.carriersettingsext | System | Enabled
com.motorola.ccc.devicemanagement | System | Enabled
com.motorola.ccc.notification | System | Enabled
com.motorola.ccc.ota | System | Enabled
com.motorola.contacts.preloadcontacts | System | Enabled
com.motorola.contacts.preloadcontacts.overlay.vzw | System | Disabled
com.motorola.coresettingsext | System | Enabled
com.motorola.createwithai | System | Enabled
com.motorola.demo | System | Enabled
com.motorola.dimo | System | Disabled
com.motorola.dolby.dolbyui | System | Enabled
com.motorola.dynamicvolume | System | Enabled
com.motorola.easyprefix | System | Disabled
com.motorola.enterprise.adapter.service | System | Enabled
com.motorola.enterprise.service | System | Enabled
com.motorola.entitlement | System | Enabled
com.motorola.faceunlock | System | Enabled
com.motorola.freeform | System | Enabled
com.motorola.gamemode | System | Enabled
com.motorola.genie | System | Enabled
com.motorola.gesture | System | Enabled
com.motorola.hce | System | Enabled
com.motorola.help | System | Enabled
com.motorola.help.extlog | System | Enabled
com.motorola.hiddenmenuapp | System | Enabled
com.motorola.imagertuning_w | System | Enabled
com.motorola.installer | System | Enabled
com.motorola.iotservice | System | Enabled
com.motorola.journal | System | Enabled
com.motorola.launcher3 | System | Enabled
com.motorola.launcher3.auto_generated_rro_product__ | System | Enabled
com.motorola.launcherconfig | System | Enabled
com.motorola.launcherconfig.overlay.amxcl | System | Disabled
com.motorola.launcherconfig.overlay.amxco | System | Disabled
com.motorola.launcherconfig.overlay.amxla | System | Disabled
com.motorola.launcherconfig.overlay.amxmx | System | Disabled
com.motorola.launcherconfig.overlay.amxpe | System | Disabled
com.motorola.launcherconfig.overlay.oraeu | System | Disabled
com.motorola.launcherconfig.overlay.retin | System | Enabled
com.motorola.launcherconfig.overlay.retru | System | Disabled
com.motorola.lifetimedata | System | Enabled
com.motorola.livewallpaper3 | System | Enabled
com.motorola.magicwords | System | Enabled
com.motorola.mobiledesktop | System | Enabled
com.motorola.mobiledesktop.core | System | Enabled
com.motorola.motcameradesktop | System | Disabled
com.motorola.moto | System | Enabled
com.motorola.motocare | System | Enabled
com.motorola.motocit | System | Enabled
com.motorola.motolights | System | Enabled
com.motorola.motosecurecore | System | Enabled
com.motorola.motosignature.app | System | Disabled
com.motorola.motosignature2.app | System | Disabled
com.motorola.msimsettings | System | Enabled
com.motorola.msimsettings.overlay | System | Disabled
com.motorola.mykey | System | Enabled
com.motorola.nfwlocationattribution | System | Enabled
com.motorola.om | System | Enabled
com.motorola.omadm.service | System | Enabled
com.motorola.omadm.vzw | System | Disabled
com.motorola.overlay.launcher3 | System | Enabled
com.motorola.paks | System | Disabled
com.motorola.paks.notification | System | Enabled
com.motorola.personalize | System | Enabled
com.motorola.playautoinstallext | System | Enabled
com.motorola.rcsConfigService | System | Disabled
com.motorola.revoker.services | System | Enabled
com.motorola.safetycenter.resources.overlay | System | Enabled
com.motorola.sarcontrol | System | Enabled
com.motorola.screenshoteditor | System | Enabled
com.motorola.securevault | System | Enabled
com.motorola.securityhub | System | Enabled
com.motorola.securityhubext | System | Enabled
com.motorola.settings.mep.overlay | System | Enabled
com.motorola.setup | System | Enabled
com.motorola.setup.auto_generated_rro_product__ | System | Enabled
com.motorola.setup.overlay.dlcdisclaimer | System | Disabled
com.motorola.setup.overlay.gemini | System | Enabled
com.motorola.setup.overlay.pai | System | Disabled
com.motorola.slpc_sys | System | Enabled
com.motorola.smart5g | System | Enabled
com.motorola.smartfeed | System | Enabled
com.motorola.spaces | System | Enabled
com.motorola.spectrum.setup.extensions | System | Disabled
com.motorola.sstservice | System | Disabled
com.motorola.systemserver | System | Enabled
com.motorola.systemui.desk | System | Enabled
com.motorola.systemui.overlay.dcm | System | Disabled
com.motorola.systemui.overlay.jp | System | Disabled
com.motorola.systemui.overlay.moto.sysbar | System | Enabled
com.motorola.thermalservice | System | Enabled
com.motorola.timeweatherwidget | System | Enabled
com.motorola.uxcore | System | Enabled
com.motorola.vzw.pco.extensions.pcoreceiver | System | Enabled
com.motorola.wifi.motowifimetrics | System | Enabled
com.myairtelapp | User | Enabled
com.noisefit | User | Enabled
com.oem.euiccpartnerapp | System | Enabled
com.oem.euiccpartnerapp.overlay.att | System | Disabled
com.oem.euiccpartnerapp.overlay.br | System | Disabled
com.oem.euiccpartnerapp.overlay.cc | System | Disabled
com.oem.euiccpartnerapp.overlay.na | System | Disabled
